"name","code","unit","category","brand","vendor","image_url","quantity","is_active","created_by","created_at","updated_at"
"White (ECO) (Bright White)","2000","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.281721","2026-03-08T14:57:16.282001"
"White (ECO LDW) (Natural White)","2001","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282233","2026-03-08T14:57:16.282238"
"White (LSW) (Bright White)","2002","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282320","2026-03-08T14:57:16.282323"
"White (LDW) (Natural White)","2003","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282381","2026-03-08T14:57:16.282384"
"Litho Backup White","2004","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282517","2026-03-08T14:57:16.282523"
"Black","2005","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282628","2026-03-08T14:57:16.282632"
"Colours","2006","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282704","2026-03-08T14:57:16.282707"
"New High Density","2007","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282773","2026-03-08T14:57:16.282777"
"High Density Black","2008","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282826","2026-03-08T14:57:16.282828"
"High Density White","2009","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282886","2026-03-08T14:57:16.282888"
"New Foam","2010","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282927","2026-03-08T14:57:16.282929"
"Violet","2011","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.282969","2026-03-08T14:57:16.282972"
"DK. Pink","2012","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283025","2026-03-08T14:57:16.283027"
"T.Gel","2013","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283066","2026-03-08T14:57:16.283068"
"NR Glitter gel","2014","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283121","2026-03-08T14:57:16.283124"
"Soft Base","2015","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283182","2026-03-08T14:57:16.283184"
"Flock Gum","2016","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283241","2026-03-08T14:57:16.283244"
"Fl. All Colours","2017","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283281","2026-03-08T14:57:16.283283"
"Mixing Reducer","2018","KG","PLASTISOL","COLOURPLUS","null","null","0","True","Sreeram","2026-03-08T14:57:16.283318","2026-03-08T14:57:16.283320"
"Thickener Powder","2019","KG","PRINTING ADD ON","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.283355","2026-03-08T14:57:16.283357"
"1412 SHINING GEL","2020","KG","TPL","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.283394","2026-03-08T14:57:16.283397"
" WHITE","2021","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283436","2026-03-08T14:57:16.283438"
" PT WHITE","2022","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283473","2026-03-08T14:57:16.283475"
" LDW WHITE (NATURAL WHITE)","2023","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283509","2026-03-08T14:57:16.283511"
" 271 OPAQUE WHITE","2024","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283544","2026-03-08T14:57:16.283546"
"BLACK","2025","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283579","2026-03-08T14:57:16.283581"
"PT BLACK","2026","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283618","2026-03-08T14:57:16.283620"
"PT LITHO BACK UP WHITE","2027","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283655","2026-03-08T14:57:16.283657"
"ORANGE","2028","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283691","2026-03-08T14:57:16.283693"
"KELLY GREEN","2029","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283725","2026-03-08T14:57:16.283727"
"CARDINAL RED","2030","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283760","2026-03-08T14:57:16.283762"
"GOLDEN YELLOW","2031","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283794","2026-03-08T14:57:16.283796"
"LEMON YELLOW","2032","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283828","2026-03-08T14:57:16.283830"
"ROYAL BLUE","2033","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283862","2026-03-08T14:57:16.283864"
"NAVY BLUE","2034","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283896","2026-03-08T14:57:16.283898"
"TURQUISE BLUE","2035","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283930","2026-03-08T14:57:16.283932"
"VIOLET","2036","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.283977","2026-03-08T14:57:16.283980"
"TRANSFER GEL","2037","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284015","2026-03-08T14:57:16.284017"
"LAKE RED","2038","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284050","2026-03-08T14:57:16.284052"
"BLOOD RED","2039","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284085","2026-03-08T14:57:16.284087"
"DK.PINK","2040","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284119","2026-03-08T14:57:16.284121"
"SKY BLUE","2041","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284166","2026-03-08T14:57:16.284168"
"MIXING AID","2042","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284209","2026-03-08T14:57:16.284212"
"PROCESS COLOURS (CYAN, MAJENTHA, YELLOW, BLACK)","2043","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284253","2026-03-08T14:57:16.284255"
"TPL MATTING AGENT","2044","KG","PRINTING ADD ON","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284290","2026-03-08T14:57:16.284292"
"ZERO TPL HD","2045","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284327","2026-03-08T14:57:16.284329"
"ZERO TPL FOAM","2046","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284363","2026-03-08T14:57:16.284365"
"ZERO TPL HD WHITE","2047","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284400","2026-03-08T14:57:16.284402"
"ZERO TPL HD BLACK","2048","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284436","2026-03-08T14:57:16.284438"
"4802 IMP. BEADS GEL","2049","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284471","2026-03-08T14:57:16.284473"
