name,category,code,unit,brand,vendor,image_url,is_active,created_by,quantity,branch,description
White (ECO) (Bright White),PLASTISOL,2000,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
White (ECO LDW) (Natural White),PLASTISOL,2001,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
White (LSW) (Bright White),PLASTISOL,2002,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
White (LDW) (Natural White),PLASTISOL,2003,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Litho Backup White,PLASTISOL,2004,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Black,PLASTISOL,2005,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Colours,PLASTISOL,2006,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
New High Density,PLASTISOL,2007,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High Density Black,PLASTISOL,2008,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High Density White,PLASTISOL,2009,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
New Foam,PLASTISOL,2010,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Violet,PLASTISOL,2011,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DK. Pink,PLASTISOL,2012,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
T.Gel,PLASTISOL,2013,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
NR Glitter gel,PLASTISOL,2014,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Soft Base,PLASTISOL,2015,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Flock Gum,PLASTISOL,2016,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Fl. All Colours,PLASTISOL,2017,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Mixing Reducer,PLASTISOL,2018,KG,COLOURPLUS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Thickener Powder,PRINTING ADD ON,2019,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
1412 SHINING GEL,TPL,2020,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
 WHITE,TPL,2021,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
 PT WHITE,TPL,2022,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
 LDW WHITE (NATURAL WHITE),TPL,2023,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
 271 OPAQUE WHITE,TPL,2024,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
BLACK,TPL,2025,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PT BLACK,TPL,2026,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PT LITHO BACK UP WHITE,TPL,2027,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
ORANGE,TPL,2028,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
KELLY GREEN,TPL,2029,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CARDINAL RED,TPL,2030,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
